company,role,job_link,location,remote,status,date_applied,follow_up_date,contact_name,contact_email,contact_link,notes
Neo.Tax,Senior Data Scientist + Machine Learning Engineer,https://jobs.ashbyhq.com/neo-tax/7133d265-02d2-415d-b355-98f63222406f,"Remote US, Pacific hours",Yes,Submitted,2026-06-09,2026-06-16,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; strong fit for production ML, Python, SQL, data ingestion, and evaluation"
Olli Health,Senior AI Engineer,https://jobs.gusto.com/postings/olli-health-senior-ai-engineer-0ee49252-41d0-4db3-8ad9-38f44d31c81a/applicants/new,Remote,Yes,Blocked,,,,,,Application form found; required unknowns: US/CA work authorization and visa sponsorship; strong LLM eval/observability fit
Olli Health,Senior Software Engineer - Platform,https://jobs.gusto.com/postings/olli-health-senior-software-engineer-platform-a5798f49-2b72-4b5d-8b6b-cf52063dab45/applicants/new,Remote,Yes,Blocked,,,,,,"Application form found; required unknowns: US/CA work authorization, visa sponsorship, desired salary; strong Python/FastAPI/React/PostgreSQL/AWS fit"
Emergences Labs,AI / Systems Engineer - NeoHuman,https://emergences.ai/careers/ai-engineer,Remote US,Yes,Submitted,2026-06-04,2026-06-11,Jack,jack@emergences.ai,,Submitted by email with attached resume; sent message id 19e935928df28bbf
Step,Senior Machine Learning Engineer,https://step.com/careers/senior-machine-learning-engineer,Remote US,Yes,Blocked,,,,,,Risk/fraud ML fit; form embedded through Greenhouse but Chrome extension automation failed after launch/retry
Dropbox,Senior Machine Learning Engineer - Dash Agentic AI,https://www.dropbox.jobs/en/jobs/7644886/senior-machine-learning-engineer-dash-agentic-ai/,Remote US,Yes,Blocked,,,,,,"Stretch role: production-scale AI/ML systems and agentic AI; official page was blocked by Cloudflare/Attention Required in automation on 2026-06-10, so no submission made; requires manual browser session or alternate official ATS link"
Starbridge,AI Engineer / Senior Engineer,https://starbridge.ai/careers,NYC or Remote,Yes,Submitted,2026-06-04,2026-06-11,,,recruiting@starbridge.ai,Submitted by email with attached resume; sent message id 19e935bc955db824; mentioned HN
Factory AI,AI/Data/Product Engineering roles,https://factory.ai,"San Francisco, NY, London",No,Saved,,,,,,"Stretch if open to onsite; agentic software development, Python, React, TypeScript, AWS, LLM"
Peachtree Infrastructure,Data Engineer / Data-focused Full Stack,email:hiring@peachtreeinfra.com,Remote US,Yes,Submitted,2026-06-04,2026-06-11,,,hiring@peachtreeinfra.com,Submitted by email with attached resume; salary listed $150k-$180k for Data Engineer; sent message id 19e935dcf0319bad
Catalyst Wayfare AI,AI Engineer / Agent Builder,email:talent+hn@cwai.co,Remote US with occasional travel,Yes,Submitted,2026-06-04,2026-06-11,,,talent+hn@cwai.co,Submitted by email with attached resume; HN role for production agent systems; sent message id 19e935e03e823b3f
Coder,Senior Software Engineer / AI Governance,https://coder.com/careers?utm_source=O2n5Ew72WD,Remote US/Canada,Yes,Submitted,2026-06-04,2026-06-11,,,careers@coder.com,Submitted by email with attached resume for senior engineering/AI governance fit; sent message id 19e935e331937cd0
Riot IQ,Software Engineer / AI Data Systems,email:robertneir@riotiq.com,Remote US,Yes,Submitted,2026-06-04,2026-06-11,Robert Neir,,robertneir@riotiq.com,Submitted by email with attached resume; AI assessment/model evaluation/product fit; sent message id 19e935f1fde6c905
